country,Sum of  GDP [2015],Sum of % Female SME,Sum of % Micro Female,Current Supply,Sum of Current Volume / GDP,Sum of Female_Fully Constrained,Sum of Female_Fully Constrained %,Sum of Female_Partly Constrained,Sum of Female_Partly Constrained %,Sum of Female_Unconstrained,Sum of Female_Unconstrained %,Sum of Finance gap / Current Volume,Sum of Finance Gap / GDP,incomelevel,Sum of Informal as % of Formal,Sum of Informal Potential Demand,Sum of informal2007,Sum of Male_Fully Constrained,Sum of Male_Fully Constrained %,Sum of Male_Partly Constrained,Sum of Male_Partly Constrained %,Sum of Male_Unconstrained,Sum of Male_Unconstrained %,Sum of micro % of gdp CURRENT SUPPLYl demand,Sum of micro % of gdp FINANCIAL GAP,Sum of micro % of gdp potential demand,Sum of Micro Men Gap,Sum of Micro Women Gap,Sum of Micro_Fully Constrained,Sum of Micro_Fully Constrained %,Sum of Micro_Partly Constrained,Sum of Micro_Partly Constrained %,Sum of Micro_Unconstrained,Sum of Micro_Unconstrained %,Sum of Micro: Current Volume,Sum of Micro: Finance Gap,Sum of Micro: Potential Demand,Sum of MSME Finance gap,Sum of Number of Micro - Men,Sum of Number of Micro - Women,Sum of Number of Microenterprises,Sum of Number of MSMEs,Sum of Number of SMEs,Sum of Number of SMEs - Men,Sum of Number of SMEs - Women,Sum of Potential Demand,Sum of Potential Demand / GDP,region,Sum of SME % OF GDP TO CURRENT SUPPLY,Sum of SME % OF GDP TO FINANCIAL GAP,Sum of SME % OF GDP TO POTENTIAL DEMAND,Sum of SME Men Gap,Sum of SME Women Gap,Sum of SME_Fully Constrained,Sum of SME_Fully Constrained %,Sum of SME_Partly Constrained,Sum of SME_Partly Constrained %,Sum of SME_Unconstrained,Sum of SME_Unconstrained %,Sum of SME: Current Volume,Sum of SME: Finance Gap,Sum of SME: Potential Demand,Source - Current Supply,Source - Number of Micro Enterprises,Source - Number of SMEs
Romania,$177954000000,23.77%,35.25%,$18232839393,10.25%,$34928.48335,25.36%,22588.56471,16.40%,80196.80516,58.23%,2.515871534,25.78%,Upper middle income,43.27%,27735680433,0.302,47398.7376,17.57%,50275.51373,18.64%,172021.8954,63.78%,1.65%,7.40%,9.05%,9877764158,$3291902771,85899.12797,24.13%,60485.56113,16.99%,209623.3109,58.88%,$2933545070,$13169666929,$16103211999,$45871481609,230512.4974,125495.5026,356008,407410,51402,39183.64942,12218.35058,$64104321002,36.02%,Europe & Central Asia,8.60%,18.38%,26.97%,30067236656,$2634578024,8194.314766,15.94%,9709.333665,18.89%,33498.35157,65.17%,$15299294322,$32701814680,$48001109002,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Russian Federation,$1326020000000,13.39%,20.28%,$134059000000,10.11%,$87947.01797,27.40%,58804.41642,18.32%,174219.5968,54.28%,1.656143602,16.74%,Upper middle income,68.35%,243381000000,0.406,385375.0658,28.58%,231407.9772,17.16%,731684.9258,54.26%,0.30%,2.49%,2.79%,23254424740,$9715932942,370022.3943,26.15%,310337.2101,21.93%,734826.3955,51.92%,$3996162542,$32970357682,$36966520224,$222021000000,1128253.991,286932.0094,1415186,1669439,254253,220213.9782,34039.02179,$356079000000,26.85%,Europe & Central Asia,9.81%,14.26%,24.07%,175716000000,$13333835245,74958.16375,29.48%,38251.1604,15.04%,141043.6758,55.47%,$130063000000,$189050000000,$319113000000,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Rwanda,$8095980032,11.48%,23.83%,$217157882.2,2.68%,$7722.561962,27.31%,3163.247273,11.19%,17394.82242,61.51%,5.865669824,15.73%,Low income,64.20%,957233692.3,0.391,25436.96467,26.74%,24526.49389,25.79%,45145.90979,47.47%,0.34%,0.54%,0.88%,39823939.46,$3709870.956,42077.25823,36.80%,31505.07776,27.56%,40746.66401,35.64%,$27457330.13,$43533810.42,$70991140.55,$1273776437,87088.15523,27240.84477,114329,123390,9061,8021.213115,1039.786885,$1490934319,18.42%,Sub-Saharan Africa,2.34%,15.20%,17.54%,1155991351,$74251275.61,1908.701331,21.07%,1822.98268,20.12%,5329.31599,58.82%,$189700552.1,$1230242626,$1419943178,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Samoa,$761037888,37.06%,35.11%,$136455641.2,17.93%,$50.02343331,7.22%,242.2320632,34.98%,400.1875443,57.79%,0.261389445,4.69%,Lower middle income,,0,,0,0.00%,475.6175211,37.98%,776.6270086,62.02%,2.17%,,,,,92.20064799,6.38%,354.2718853,24.50%,999.6813129,69.13%,$16482791.69,,,$35668064.29,938.4615385,507.6923077,1446.153846,1944.68757,498.5337243,313.7829912,184.7507331,$172123705.5,22.62%,East Asia & Pacific,15.76%,,,,,0,0.00%,228.6141629,45.86%,269.9195614,54.14%,$119972849.5,,,FAS,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Senegal,$13779570688,11.75%,21.86%,$493738437.1,3.58%,$8103.279708,9.94%,40870.5392,50.12%,32577.16072,39.95%,1.854114552,6.64%,Low income,71.53%,1007942687,0.417,108448.4938,33.32%,79625.8756,24.46%,137439.651,42.22%,0.51%,,,,,116071.6673,34.79%,104783.1142,31.41%,112792.2185,33.81%,$70520020.56,,,$915447621.2,260725.0191,72921.98092,333647,407065,73418,64789.0013,8628.998701,$1409186058,10.23%,Sub-Saharan Africa,3.07%,,,,,18841.29465,25.66%,19318.93975,26.31%,35257.76559,48.02%,$423218416.6,,,Predicted,General Census of Enterprises (RGE) 2016; ANSD 2017; Micro may inlcude semi-formal,General Census of Enterprises (RGE) 2016; ANSD 2017;
Serbia,$36513026048,22.86%,18.71%,$5136836096,14.07%,$1444.589931,8.92%,7041.380826,43.50%,7702.2499,47.58%,1.964161055,27.63%,Upper middle income,,0,,12793.26062,18.84%,14975.06529,22.06%,40125.45343,59.10%,0.70%,6.85%,7.55%,2121071787,$379883941.3,11839.18692,16.22%,21266.95543,29.13%,39888.85765,54.65%,$255526385.8,$2500955728,$2756482114,$10089573405,59341.18361,13653.81639,72995,84082,11087,8552.595737,2534.404263,$15226409501,41.70%,Europe & Central Asia,13.37%,20.78%,34.15%,5292776024,$2295841653,1870.903663,16.87%,2767.365197,24.96%,6448.73114,58.16%,$4881309710,$7588617677,$12469927387,OECD,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Slovak Republic,$86581788672,14.80%,29.62%,$8822770352,10.19%,$2170.106994,1.69%,15623.53386,12.14%,110951.3453,86.18%,2.070210582,21.10%,High income,20.19%,5469644431,0.168,21917.25001,6.90%,41268.69755,12.99%,254478.0662,80.11%,0.46%,0.60%,1.06%,358135688.2,$164018583.5,6349.078409,1.50%,33607.09142,7.95%,382849.8302,90.55%,$394413795.5,$522154271.7,$916568067.2,$18264992545,297553.6962,125252.3038,422806,446409,23603,20110.31757,3492.682431,$27087762897,31.29%,Europe & Central Asia,9.73%,20.49%,30.23%,17196015813,$546822460.4,1750.200502,7.42%,3414.61359,14.47%,18438.18591,78.12%,$8428356557,$17742838273,$26171194830,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Slovenia,$42746982400,19.89%,26.58%,$7225596416,16.90%,$527.0307282,1.63%,1755.877467,5.43%,30041.17197,92.94%,1.104465987,18.67%,High income,32.80%,4987898283,0.247,10075.76883,9.58%,5647.952601,5.37%,89412.1984,85.04%,1.29%,7.45%,8.74%,2002106403,$1183798086,9614.951809,12.91%,3942.461747,5.29%,60944.58644,81.80%,$551138062.2,$3185904489,$3737042551,$7980425474,54697.90129,19804.09871,74502,137460,62958,50438.01854,12519.98146,$15206021890,35.57%,Europe & Central Asia,15.61%,11.22%,26.83%,4264082204,$530438780.8,1481.894535,2.35%,3450.949992,5.48%,58025.15547,92.16%,$6674458354,$4794520985,$11468979339,OECD,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Solomon Islands,$1156834688,22.03%,46.43%,$43213645.34,3.74%,$48.96329894,6.30%,113.4309912,14.60%,614.6496678,79.10%,4.02278228,15.03%,Lower middle income,48.59%,105462471.6,0.327,123.3742351,5.43%,214.9984042,9.46%,1934.244443,85.11%,0.07%,0.52%,0.58%,4522224.566,$1461325.189,0,0.00%,48.30308308,11.21%,382.4661477,88.79%,$763913.6789,$5983549.755,$6747463.434,$173839086.7,230.7692308,200,430.7692308,3049.66104,2618.891809,2041.847851,577.0439579,$217052732,18.76%,East Asia & Pacific,3.67%,14.51%,18.18%,139516000.2,$28339536.77,169.7369836,6.48%,275.2138059,10.51%,2173.941019,83.01%,$42449731.66,$167855536.9,$210305268.6,Predicted,Enterprise Surveys -- rescaled,Original Gap analysis
South Africa,$312798000000,22.48%,23.71%,$41462741608,13.26%,$9521.302611,6.07%,29011.47293,18.48%,118453.1119,75.45%,0.731802986,9.70%,Upper middle income,33.69%,24191090276,0.252,5193.581985,1.02%,81092.05323,15.89%,424160.4774,83.10%,0.14%,2.39%,2.53%,6101621639,$1381081747,36881.92028,6.55%,92958.69752,16.51%,433112.3822,76.94%,$440642728.8,$7482703387,$7923346116,$30342558100,429449.7826,133503.2174,562953,667432,104479,80996.33003,23482.66997,$71805299709,22.96%,Sub-Saharan Africa,13.11%,7.31%,20.42%,18606540340,$4253314374,213.1007059,0.20%,16393.44489,15.69%,87872.45441,84.11%,$41022098880,$22859854713,$63881953593,Predicted,"Bureau for Economic Research, South Africa. Micro / SME. Micro share 84% - as per the original Gap analysis","Bureau for Economic Research, South Africa. Micro / SME. Micro share 84% - as per the original Gap analysis"
South Sudan,$9015221248,7.71%,11.41%,$139925153.3,1.55%,$313.227647,38.80%,184.3829948,22.84%,309.6701735,38.36%,2.082219524,3.23%,Low income,,0,,2680.239531,41.20%,994.8960537,15.29%,2830.5836,43.51%,0.02%,0.91%,0.93%,75961740.86,$6002625.362,2714.159262,41.20%,1164.998435,17.69%,2707.842303,41.11%,$1891108.809,$81964366.22,$83855475.03,$291354886.1,5835.670313,751.3296875,6587,7313,726,670.0488722,55.95112782,$431280039.5,4.78%,Sub-Saharan Africa,1.53%,2.32%,3.85%,200608481.8,$8782038.076,292.0463954,40.23%,98.7088739,13.60%,335.2447307,46.18%,$138034044.5,$209390519.9,$347424564.4,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Sri Lanka,$82316173312,14.02%,11.81%,$2282135557,2.77%,$44006.67537,36.10%,30624.02929,25.12%,47274.61566,38.78%,7.5014195,20.80%,Lower middle income,73.01%,14165029945,0.422,285738.2566,31.91%,338396.0828,37.79%,271227.3403,30.29%,0.28%,4.13%,4.40%,3118177469,$279093964.3,289256.7009,30.91%,368164.1625,39.34%,278315.1367,29.74%,$226868093.1,$3397271434,$3624139527,$17119256169,825259.103,110476.897,935736,1017267,81531,70102.57668,11428.42332,$19401391726,23.57%,South Asia,2.50%,16.67%,19.17%,13305774900,$416209835.1,28135.91812,34.51%,24983.20761,30.64%,28411.87427,34.85%,$2055267464,$13721984735,$15777252199,Predicted,Department of Census and Statistics 2013/2014,Department of Census and Statistics 2013/2014
St. Kitts and Nevis,$921888832,26.60%,28.87%,$136508645.3,14.81%,$0,0.00%,317.5171589,40.82%,460.32654,59.18%,0.706152887,10.46%,High income,,0,,0,0.00%,716.0060794,36.54%,1243.765606,63.46%,1.02%,1.93%,2.95%,13383182.69,$4385703.585,0,0.00%,760.5177844,34.81%,1424.0976,65.19%,$9404253.188,$17768886.27,$27173139.46,$96395973.92,1553.846154,630.7692308,2184.615385,2737.615385,553,405.9255319,147.0744681,$232904619.2,25.26%,Latin America & Caribbean,13.79%,8.53%,22.32%,52214980.52,$26412107.13,0,0.00%,215.6733543,39.00%,337.3266457,61.00%,$127104392.1,$78627087.65,$205731479.7,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
St. Lucia,$1436390272,28.13%,26.89%,$154355714.5,10.75%,$12.8724345,0.97%,407.0788342,30.73%,904.5675339,68.29%,1.240723332,13.33%,Upper middle income,,0,,194.6066959,5.49%,1103.342938,31.12%,2247.205,63.39%,0.71%,4.38%,5.09%,42936919.03,$20008108.29,225.5690769,6.16%,1311.438585,35.82%,2124.5308,58.02%,$10151610.81,$62945027.32,$73096638.13,$191512736.4,2676.923077,984.6153846,3661.538462,4869.673436,1208.134975,868.2315568,339.903418,$345868450.9,24.08%,Latin America & Caribbean,10.04%,8.95%,18.99%,101633228.1,$26934480.98,35.27861111,2.92%,332.2349337,27.50%,840.6214299,69.58%,$144204103.7,$128567709,$272771812.7,Predicted,Enterprise Surveys -- rescaled,Original Gap analysis
St. Vincent and the Grenadines,$751373248,36.54%,68.50%,$27165450.14,3.62%,$633.0483177,20.37%,589.0437202,18.95%,1886.086185,60.68%,8.510760756,30.77%,Upper middle income,,0,,63.10988618,3.69%,314.0427471,18.35%,1334.121246,77.96%,0.85%,7.85%,8.70%,19389938.16,$39608648.62,933.9909186,22.16%,948.4562056,22.50%,2332.937491,55.34%,$6405873.374,$58998586.78,$65404460.16,$231198647,1327.923359,2887.461257,4215.384615,4819.452103,604.0674874,383.3505208,220.7169665,$258364097.1,34.39%,Latin America & Caribbean,2.76%,22.92%,25.68%,118193404.4,$54006655.78,7.259889463,1.20%,81.70200135,13.53%,515.1055966,85.27%,$20759576.76,$172200060.2,$192959636.9,Predicted,Enterprise Surveys -- rescaled,Original Gap analysis
Sudan,$84066770944,4.46%,0.72%,$1087084350,1.29%,$29.71966296,11.26%,60.17476569,22.81%,173.9701551,65.93%,19.95308484,25.80%,Lower middle income,51.75%,11786372954,0.341,801.1396978,6.25%,3928.943449,30.64%,8093.622763,63.11%,0.00%,0.53%,0.53%,445393875.9,$0,390.5417311,4.57%,2167.984396,25.35%,5995.320027,70.09%,$0,$445393875.9,$445393875.9,$21690686257,8492.196812,61.64934165,8553.846154,13087.57049,4533.72434,4331.509098,202.2152421,$22777770607,27.09%,Sub-Saharan Africa,1.29%,25.27%,26.57%,19949928579,$1295363802,321.7067956,7.10%,1457.543878,32.15%,2754.473667,60.76%,$1087084350,$21245292381,$22332376731,FAS,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Suriname,$4877888512,8.82%,16.92%,$256808342.8,5.26%,$0,0.00%,65.2306076,29.38%,156.7860854,70.62%,3.775277465,19.88%,Upper middle income,54.08%,663239157.7,0.351,35.29231815,2.56%,651.5804058,47.35%,689.3510522,50.09%,0.32%,1.21%,1.52%,50023396.46,$8827031.342,0,0.00%,421.27,42.13%,578.73,57.87%,$15453461.58,$58850427.81,$74303889.38,$969522749.3,830.7692308,169.2307692,1000,1598.240469,598.2404692,545.4545455,52.78592375,$1226331092,25.14%,Latin America & Caribbean,4.95%,18.67%,23.62%,861691834.4,$48980487.06,19.05515543,3.19%,280.8152727,46.94%,298.3700411,49.87%,$241354881.2,$910672321.5,$1152027203,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Swaziland,$4060072448,22.30%,23.12%,$119893186.5,2.95%,$8929.339559,23.74%,20949.95507,55.69%,7738.644625,20.57%,15.20388202,44.90%,Lower middle income,63.67%,1236864050,0.389,23418.57061,18.70%,28888.03525,23.07%,72928.37617,58.23%,0.00%,3.65%,3.65%,110691444.6,$37329609.63,50635.84425,31.72%,39871.47855,24.98%,69108.06182,43.30%,$0,$148021054.3,$148021054.3,$1822841863,122719.3661,36896.01855,159615.3846,162852.9213,3237.536657,2515.615962,721.9206954,$1942735050,47.85%,Sub-Saharan Africa,2.95%,41.25%,44.20%,1482530182,$192290627.5,476.6330488,14.72%,987.3396466,30.50%,1773.563961,54.78%,$119893186.5,$1674820809,$1794713995,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Tajikistan,$7853450240,10.82%,17.46%,$239528518.2,3.05%,$11503.53012,43.27%,252.9252926,0.95%,14827.44619,55.78%,6.060933504,18.49%,Lower middle income,69.49%,1175306653,0.41,14566.43922,11.32%,20731.19336,16.11%,93409.46582,72.58%,0.08%,2.97%,3.05%,212417744.6,$20578806.12,29690.02279,20.16%,13869.43129,9.42%,103747.5459,70.43%,$6347274.995,$232996550.8,$239343825.8,$1451766421,121586.7302,25720.26984,147307,155291,7984,7120.368239,863.6317606,$1691294939,21.54%,Europe & Central Asia,2.97%,15.52%,18.49%,1163916906,$54852964.13,1044.056739,13.08%,1318.465496,16.51%,5621.477765,70.41%,$233181243.2,$1218769870,$1451951114,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Tanzania,$44895391744,17.85%,21.20%,$1327618892,2.96%,$205166.2718,31.48%,280635.6624,43.06%,165904.4323,25.46%,4.359102945,12.89%,Low income,115.98%,8251992377,0.537,1123488.43,44.74%,639670.6734,25.47%,748019.5304,29.79%,0.08%,1.76%,1.84%,625259187.7,$164614885.6,1212707.706,46.56%,658016.331,25.26%,733932.9632,28.18%,$38008116.04,$789874073.2,$827882189.3,$5787227422,2052597.421,552059.5787,2604657,3162885,558228,458581.2122,99646.78782,$7114846314,15.85%,Sub-Saharan Africa,2.87%,11.13%,14.00%,3510495893,$1486857455,215579.0448,38.62%,175090.2297,31.37%,167558.7255,30.02%,$1289610776,$4997353349,$6286964125,Predicted,"National Baseline Survey Report: Micro, Small and Medium Enterprises. To calculate SME, use WB ES ratios","National Baseline Survey Report: Micro, Small and Medium Enterprises. To calculate Micro, use WB ES ratios"
Thailand,,57.94%,56.72%,$112778000000,28.53%,$698636.3501,42.05%,207540.9455,12.49%,755113.7831,45.45%,0.36126949,10.31%,Upper middle income,,142852000000,0.482,311959.1025,25.77%,430186.061,35.53%,468589.6808,38.70%,,,,,,101333.2244,44.94%,34144.90738,15.14%,89998.7913,39.91%,$1652542655,,,$40743237597,97584.61538,127892.3077,225476.9231,2872025.923,2646549,1113150.229,1533398.771,$153521000000,38.84%,East Asia & Pacific,,,,,,825940.7468,31.21%,613869.3934,23.20%,1206738.86,45.60%,$111125000000,,,FAS,Enterprise Surveys -- rescaled,MSME Country Indicators 2014 (IFC)
Timor-Leste,$1412377856,61.59%,63.79%,$11699085.84,0.83%,$482.707871,18.46%,523.7728777,20.03%,1608.528846,61.51%,38.38834475,31.80%,Lower middle income,,0,,227.1187704,14.91%,462.2521797,30.35%,833.7794546,54.74%,0.04%,2.90%,2.94%,14492619.8,$26444781.64,736.8096,24.50%,845.897728,28.12%,1425.292672,47.38%,$609404.5142,$40937401.44,$41546805.96,$449108540.7,1089.103448,1918.896552,3008,4138.16,1130.16,434.0469565,696.1130435,$460807626.5,32.63%,East Asia & Pacific,0.79%,28.90%,29.68%,105904388.8,$302266750.5,157.3493459,13.92%,250.9667245,22.21%,721.8439297,63.87%,$11089681.33,$408171139.3,$419260820.6,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Togo,$4002723840,14.53%,17.50%,$232454156.9,5.81%,$583.4964773,22.80%,604.6461728,23.62%,1371.2829,53.58%,1.677559048,9.74%,Low income,52.91%,329287105.5,0.346,2507.647229,20.33%,3236.056439,26.24%,6588.862661,53.43%,0.08%,0.60%,0.68%,13261957.96,$10760410.64,2905.270416,21.81%,3361.999559,25.23%,7055.806949,52.96%,$3159490.301,$24022368.59,$27181858.89,$389955574.3,10991.53846,2331.538462,13323.07692,14891.99188,1568.914956,1341.027867,227.8870886,$622409731.2,15.55%,Sub-Saharan Africa,5.73%,9.14%,14.87%,332006642.7,$33926562.95,314.6548118,20.06%,410.7585305,26.18%,843.5016137,53.76%,$229294666.6,$365933205.7,$595227872.3,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Tonga,$434386304,13.59%,66.26%,$76317957.46,17.57%,$1834.587198,31.19%,2291.194339,38.95%,1755.931301,29.85%,2.159598587,37.94%,Lower middle income,,0,,1680.069665,48.37%,671.3289717,19.33%,1121.9077,32.30%,7.91%,21.18%,29.10%,41303925.2,$50704086.77,3627.383533,41.44%,3099.303543,35.41%,2027.159079,23.16%,$34380442.38,$92008011.98,$126388454.4,$164816153.1,2953.846154,5800,8753.846154,9355.019174,601.1730205,519.4601828,81.71283774,$241134110.6,55.51%,East Asia & Pacific,9.65%,16.76%,26.42%,64748711.44,$8059429.7,190.3237245,31.66%,70.23231637,11.68%,340.6169796,56.66%,$41937515.08,$72808141.14,$114745656.2,FAS,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Trinidad and Tobago,$27805745152,20.33%,31.75%,$1522268219,5.47%,$230.4715501,4.04%,1916.686798,33.59%,3559.335834,62.37%,2.971156817,16.27%,High income,45.99%,2779893768,0.315,982.3936556,7.29%,7538.87512,55.93%,4958.237042,36.78%,0.88%,1.15%,2.03%,219593842.5,$100016567.6,640.735504,4.05%,9534.300633,60.29%,5638.963863,35.66%,$244349802.4,$319610410.1,$563960212.5,$4522897594,10792.98951,5021.010491,15814,19186,3372,2686.516308,685.4836915,$6045165813,21.74%,Latin America & Caribbean,4.60%,15.12%,19.71%,3267225025,$936062158.9,259.08495,7.68%,1557.463994,46.19%,1555.451056,46.13%,$1277918416,$4203287184,$5481205600,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Tunisia,$43015090176,10.92%,9.72%,$6005002488,13.96%,$6903.57356,11.76%,14433.25237,24.59%,37360.41473,63.65%,1.144633478,15.98%,Lower middle income,54.80%,7057274610,0.354,35925.80126,6.62%,107342.6983,19.78%,399450.2598,73.60%,1.05%,4.58%,5.63%,1654074516,$316580466.6,65718.64382,11.26%,177152.4061,30.34%,340977.9501,58.40%,$449918267.2,$1970654983,$2420573250,$6873526885,527070.8022,56778.19781,583849,601416,17567,15647.95714,1919.04286,$12878529373,29.94%,Middle East & North Africa,12.91%,11.40%,24.31%,4624355973,$278515929.1,919.2644477,5.23%,2730.469914,15.54%,13917.26564,79.22%,$5555084221,$4902871903,$10457956123,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Turkey,$718221000000,9.20%,9.35%,$152283000000,21.20%,$2688.690552,1.07%,26118.60079,10.44%,221376.9417,88.49%,0.526978966,11.17%,Upper middle income,41.04%,95440234268,0.291,78309.25187,3.23%,99755.251,4.11%,2248751.264,92.66%,7.68%,2.47%,10.15%,16669814113,$1078587232,91906.86067,3.54%,76656.90903,2.95%,2430803.23,93.52%,$55145366592,$17748401346,$72893767938,$80249986670,2356325.104,243041.8964,2599367,2677000,77633,70490.66338,7142.336624,$232533000000,32.38%,Europe & Central Asia,13.52%,8.70%,22.23%,57446887312,$5054698013,2246.274077,2.89%,4066.65106,5.24%,71320.07486,91.87%,$97137726106,$62501585325,$159639000000,FAS,2016 SBA Fact Sheet Turkey - European Commission - Europa EU; Turkish Statistical Agency 2017,2016 SBA Fact Sheet Turkey - European Commission - Europa EU; Turkish Statistical Agency 2017
Uganda,$26369243136,15.44%,26.03%,$531364911.4,2.02%,$1259.894197,21.28%,1836.812422,31.02%,2824.817921,47.70%,9.163221826,18.46%,Low income,67.50%,3645482285,0.403,6617.088032,34.44%,4203.570173,21.88%,8390.817255,43.68%,0.03%,9.46%,9.49%,2484108375,$9826898.662,8031.653327,41.68%,4812.453042,24.97%,6425.893631,33.35%,$8433961.334,$2493935274,$2502369235,$4869014554,14253.59297,5016.407028,19270,25133,5863,4957.882488,905.1175115,$5400379465,20.48%,Sub-Saharan Africa,1.98%,9.01%,10.99%,2271370710,$103708569.5,1325.267726,22.60%,1293.475039,22.06%,3244.257235,55.33%,$522930950.1,$2375079280,$2898010230,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Ukraine,$90615021568,18.67%,23.69%,$6806902953,7.51%,$13473.43785,16.36%,19582.81511,23.77%,49315.25887,59.87%,4.855681985,36.48%,Lower middle income,87.97%,35063984227,0.468,100674.8388,35.72%,56718.83676,20.12%,124471.8126,44.16%,0.46%,4.13%,4.60%,2878634983,$868243268.5,63009.79491,22.00%,69328.47149,24.20%,154122.7336,53.80%,$420441015.9,$3746878251,$4167319267,$33052156041,218611.6975,67849.30248,286461,364237,77776,63253.79064,14522.20936,$39859058994,43.99%,Europe & Central Asia,7.05%,32.34%,39.39%,26270738487,$3034539302,29498.90573,37.93%,14690.31769,18.89%,33586.77658,43.18%,$6386461937,$29305277790,$35691739726,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Uruguay,$53442699264,9.55%,14.68%,$3490723240,6.53%,$1716.02256,8.25%,1730.908447,8.32%,17361.32055,83.43%,1.678449233,10.96%,High income,85.53%,7996703559,0.461,16861.10491,13.03%,22065.15888,17.06%,90430.48464,69.91%,0.35%,2.52%,2.87%,1284787470,$63641330.89,21030.72202,16.69%,9379.737114,7.45%,95562.54087,75.86%,$185989946.3,$1348428801,$1534418747,$5859001746,107474.0409,18498.95906,125973,150165,24192,21882.7075,2309.292496,$9349724985,17.49%,Latin America & Caribbean,6.18%,8.44%,14.62%,4307323346,$203249598.6,1988.142367,8.22%,5683.694945,23.49%,16520.16269,68.29%,$3304733294,$4510572945,$7815306238,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Uzbekistan,$66732802048,14.37%,17.01%,$1732099219,2.60%,$2885.550135,18.38%,0,0.00%,12812.09669,81.62%,6.806504816,17.67%,Lower middle income,,0,,8166.07906,10.27%,923.7262073,1.16%,70443.2269,88.57%,0.13%,2.44%,2.57%,1262736140,$368039890.9,10290.21524,13.48%,0,0.00%,66063.63091,86.52%,$85360196.51,$1630776031,$1716136227,$11789541678,63369.23077,12984.61538,76353.84615,95230.679,18876.83284,16163.8014,2713.031445,$13521640897,20.26%,Europe & Central Asia,2.47%,15.22%,17.69%,9610839200,$547926447.9,1867.046955,9.89%,345.7777949,1.83%,16664.00809,88.28%,$1646739023,$10158765648,$11805504670,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Vanuatu,$814954560,29.10%,47.44%,$97341952.6,11.94%,$0,0.00%,47.14233709,6.97%,629.1601032,93.03%,1.388146184,16.58%,Lower middle income,,0,,132.7426396,14.73%,36.19272355,4.02%,732.339458,81.26%,1.48%,1.69%,3.18%,7149705.697,$6644890.968,185.412109,15.65%,78.10148577,6.59%,921.1017899,77.76%,$12096322.51,$13794596.66,$25890919.17,$135124860.1,622.6824458,561.9329389,1184.615385,1577.577261,392.9618768,278.5923754,114.3695015,$232466812.7,28.53%,East Asia & Pacific,10.46%,14.89%,25.35%,96604890.44,$24725372.98,21.11093887,5.37%,16.31891944,4.15%,355.5320185,90.47%,$85245630.09,$121330263.4,$206575893.5,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
"Venezuela, RB",$371337000000,23.42%,15.67%,$4204524489,1.13%,$11415.48592,21.60%,6389.1285,12.09%,35034.94557,66.30%,37.41545402,42.36%,Upper middle income,44.72%,72227617365,0.309,29727.95903,15.00%,19335.55213,9.76%,149130.0729,75.24%,0.01%,7.43%,7.45%,27561697232,$40577851.25,19528.63187,25.41%,8761.3205,11.40%,48571.58609,63.19%,$44931525.63,$27602275084,$27647206609,$157314000000,64815.38462,12046.15385,76861.53846,251033.1441,174171.6056,133378.1995,40793.40615,$161519000000,43.50%,Latin America & Caribbean,1.12%,34.93%,36.05%,73031465729,$56680451849,21081.28526,12.10%,17592.16086,10.10%,135498.1595,77.80%,$4159592963,$129712000000,$133872000000,FAS,Enterprise Surveys -- rescaled,Original Gap analysis
